dub_temp,dub_wddir,dub_wdsp,date,dayInMonth,hour,dayOfWeek,dayOfYear,sin_hour,sin_day,cos_hour,cos_day,index,predictedGeneration,rawTemp
5.655558669153751e+16,-1.4262105267006943e+18,-2.7108205449364716e+16,2022-07-17 08:00:00+00:00,17,8,6,198,0.8660254037844387,-0.2636654927280072,0.8660254037844387,-0.2636654927280072,13,6.310896e+20,
6.195536632540291e+16,-1.6936250004570744e+18,-3.252984653923766e+16,2022-07-17 09:00:00+00:00,17,9,6,198,0.7071067811865476,-0.2636654927280072,0.7071067811865476,-0.2636654927280072,14,8.3158235e+20,19.2
7.247072666503552e+16,-4.036092871346296e+18,-2.1686564359491776e+16,2022-07-17 10:00:00+00:00,17,10,6,198,0.49999999999999994,-0.2636654927280072,0.49999999999999994,-0.2636654927280072,15,1.553983e+21,
7.559691487411549e+16,-4.145960833432251e+18,-5.150559035379296e+16,2022-07-17 11:00:00+00:00,17,11,6,198,0.258819045102521,-0.2636654927280072,0.258819045102521,-0.2636654927280072,16,2.2257625e+21,18.6
7.53127159460173e+16,-4.2392449521844767e+18,-6.370428280600709e+16,2022-07-17 12:00:00+00:00,17,12,6,198,1.2246467991473532e-16,-0.2636654927280072,1.2246467991473532e-16,-0.2636654927280072,17,2.2791064e+21,
7.701790951460637e+16,-4.116939107598225e+18,-6.641510335094356e+16,2022-07-17 13:00:00+00:00,17,13,6,198,-0.25881904510252035,-0.2636654927280072,-0.25881904510252035,-0.2636654927280072,18,2.2749228e+21,17.9
7.78705062989009e+16,-3.982195380511677e+18,-6.0993462261070616e+16,2022-07-17 14:00:00+00:00,17,14,6,198,-0.5000000000000001,-0.2636654927280072,-0.5000000000000001,-0.2636654927280072,19,2.2046283e+21,
7.701790951460637e+16,-3.818429927591103e+18,-5.015018008132473e+16,2022-07-17 15:00:00+00:00,17,15,6,198,-0.7071067811865475,-0.2636654927280072,-0.7071067811865475,-0.2636654927280072,20,2.1245455e+21,17.3
7.758630737080274e+16,-3.8267218492579676e+18,-5.150559035379296e+16,2022-07-17 16:00:00+00:00,17,16,6,198,-0.8660254037844384,-0.2636654927280072,-0.8660254037844384,-0.2636654927280072,21,2.0780096e+21,
7.559691487411549e+16,-4.349112914270431e+18,-6.234887253353885e+16,2022-07-17 17:00:00+00:00,17,17,6,198,-0.9659258262890683,-0.2636654927280072,-0.9659258262890683,-0.2636654927280072,22,2.2123805e+21,16.9
7.417592023362459e+16,-4.4569078959396695e+18,-6.777051362341179e+16,2022-07-17 18:00:00+00:00,17,18,6,198,-1.0,-0.2636654927280072,-1.0,-0.2636654927280072,23,2.3945546e+21,
7.133393095264281e+16,-4.442397033022657e+18,-6.505969307847532e+16,2022-07-17 19:00:00+00:00,17,19,6,198,-0.9659258262890684,-0.2636654927280072,-0.9659258262890684,-0.2636654927280072,24,2.423922e+21,16.5
6.877614059975919e+16,-4.4154482876053473e+18,-6.0993462261070616e+16,2022-07-17 20:00:00+00:00,17,20,6,198,-0.8660254037844386,-0.2636654927280072,-0.8660254037844386,-0.2636654927280072,25,2.4144873e+21,
6.621835024687559e+16,-4.4361780917725087e+18,-5.692723144366591e+16,2022-07-17 21:00:00+00:00,17,21,6,198,-0.7071067811865477,-0.2636654927280072,-0.7071067811865477,-0.2636654927280072,26,2.4135156e+21,17.5
6.4228957750188344e+16,-4.492148563023844e+18,-5.963805198860238e+16,2022-07-17 22:00:00+00:00,17,22,6,198,-0.5000000000000004,-0.2636654927280072,-0.5000000000000004,-0.2636654927280072,27,2.434316e+21,
6.138696846920656e+16,-4.620673348860244e+18,-5.28610006262612e+16,2022-07-17 23:00:00+00:00,17,23,6,198,-0.2588190451025207,-0.2636654927280072,-0.2588190451025207,-0.2636654927280072,28,2.4860748e+21,18.6
5.797658133202841e+16,-4.769927938863804e+18,-4.4728538991451784e+16,2022-07-18 00:00:00+00:00,18,0,0,199,0.0,-0.2802306751992161,0.0,-0.2802306751992161,29,2.565131e+21,
5.598718883534116e+16,-4.817606488448275e+18,-4.608394926392002e+16,2022-07-18 01:00:00+00:00,18,1,0,199,0.25881904510252074,-0.2802306751992161,0.25881904510252074,-0.2802306751992161,30,2.6223937e+21,19.9
5.5702989907242984e+16,-4.637257192193972e+18,-4.4728538991451784e+16,2022-07-18 02:00:00+00:00,18,2,0,199,0.49999999999999994,-0.2802306751992161,0.49999999999999994,-0.2802306751992161,31,2.5911072e+21,
5.627138776343934e+16,-4.657986996361134e+18,-3.5240667084174132e+16,2022-07-18 03:00:00+00:00,18,3,0,199,0.7071067811865475,-0.2802306751992161,0.7071067811865475,-0.2802306751992161,32,2.5450039e+21,21.8
5.541879097914481e+16,-4.639330172610689e+18,-1.4909512997150596e+16,2022-07-18 04:00:00+00:00,18,4,0,199,0.8660254037844386,-0.2802306751992161,0.8660254037844386,-0.2802306751992161,33,2.5502863e+21,
5.2008403841966664e+16,-8.727247554374889e+17,-1.626492326961883e+16,2022-07-18 05:00:00+00:00,18,5,0,199,0.9659258262890683,-0.2802306751992161,0.9659258262890683,-0.2802306751992161,34,1.6599694e+21,25.5
5.399779633865391e+16,-7.628567933515341e+17,-2.033115408702354e+16,2022-07-18 06:00:00+00:00,18,6,0,199,1.0,-0.2802306751992161,1.0,-0.2802306751992161,35,4.329234e+20,
6.0534371684912024e+16,-9.286952266888242e+17,-2.1686564359491776e+16,2022-07-18 07:00:00+00:00,18,7,0,199,0.9659258262890683,-0.2802306751992161,0.9659258262890683,-0.2802306751992161,36,4.4144773e+20,26.6
