StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-23T02:00:00, 	2024-06-23T02:30:00, 	12.958, 	142.57
2024-06-23T02:30:00, 	2024-06-23T03:00:00, 	6.046, 	142.64
2024-06-23T03:00:00, 	2024-06-23T03:30:00, 	2.324, 	126.45
2024-06-23T03:30:00, 	2024-06-23T04:00:00, 	1.361, 	125.51
2024-06-23T04:00:00, 	2024-06-23T04:30:00, 	-2.166, 	88.53
2024-06-23T04:30:00, 	2024-06-23T05:00:00, 	-1.999, 	92.69
2024-06-23T05:00:00, 	2024-06-23T05:30:00, 	2.169, 	103.32
2024-06-23T05:30:00, 	2024-06-23T06:00:00, 	1.54, 	103.32
2024-06-23T06:00:00, 	2024-06-23T06:30:00, 	-13.689, 	81.43
2024-06-23T06:30:00, 	2024-06-23T07:00:00, 	-4.74, 	64.48
2024-06-23T07:00:00, 	2024-06-23T07:30:00, 	-0.093, 	92.93
2024-06-23T07:30:00, 	2024-06-23T08:00:00, 	3.212, 	145.86
2024-06-23T08:00:00, 	2024-06-23T08:30:00, 	10.767, 	145.86
2024-06-23T08:30:00, 	2024-06-23T09:00:00, 	12.279, 	145.32
2024-06-23T09:00:00, 	2024-06-23T09:30:00, 	14.048, 	145.41
2024-06-23T09:30:00, 	2024-06-23T10:00:00, 	20.024, 	147.17
2024-06-23T10:00:00, 	2024-06-23T10:30:00, 	11.885, 	145.32
2024-06-23T10:30:00, 	2024-06-23T11:00:00, 	-1.045, 	106.73
2024-06-23T11:00:00, 	2024-06-23T11:30:00, 	-2.389, 	70.68
2024-06-23T11:30:00, 	2024-06-23T12:00:00, 	-2.264, 	59.56
2024-06-23T12:00:00, 	2024-06-23T12:30:00, 	-5.558, 	57.69
2024-06-23T12:30:00, 	2024-06-23T13:00:00, 	-15.128, 	72.21
2024-06-23T13:00:00, 	2024-06-23T13:30:00, 	-13.8, 	52.91
2024-06-23T13:30:00, 	2024-06-23T14:00:00, 	-17.272, 	39.24
2024-06-23T14:00:00, 	2024-06-23T14:30:00, 	-20.409, 	45.52
2024-06-23T14:30:00, 	2024-06-23T15:00:00, 	-21.396, 	42.18
2024-06-23T15:00:00, 	2024-06-23T15:30:00, 	-31.408, 	50.34
2024-06-23T15:30:00, 	2024-06-23T16:00:00, 	-17.581, 	64.82
2024-06-23T16:00:00, 	2024-06-23T16:30:00, 	-14.008, 	66.67
2024-06-23T16:30:00, 	2024-06-23T17:00:00, 	5.303, 	112.66
2024-06-23T17:00:00, 	2024-06-23T17:30:00, 	14.507, 	144.25
2024-06-23T17:30:00, 	2024-06-23T18:00:00, 	21.868, 	147.48
2024-06-23T18:00:00, 	2024-06-23T18:30:00, 	10.296, 	144.25
2024-06-23T18:30:00, 	2024-06-23T19:00:00, 	5.011, 	144.25
2024-06-23T19:00:00, 	2024-06-23T19:30:00, 	2.243, 	128.34
2024-06-23T19:30:00, 	2024-06-23T20:00:00, 	1.631, 	144.25
2024-06-23T20:00:00, 	2024-06-23T20:30:00, 	7.044, 	146.99
2024-06-23T20:30:00, 	2024-06-23T21:00:00, 	0.815, 	123.87
2024-06-23T21:00:00, 	2024-06-23T21:30:00, 	5.253, 	150.94
2024-06-23T21:30:00, 	2024-06-23T22:00:00, 	0.549, 	107.29
2024-06-23T22:00:00, 	2024-06-23T22:30:00, 	-0.138, 	99.81
2024-06-23T22:30:00, 	2024-06-23T23:00:00, 	-8.755, 	67.56
2024-06-23T23:00:00, 	2024-06-23T23:30:00, 	-14.064, 	52.24
2024-06-23T23:30:00, 	2024-06-24T00:00:00, 	-8.037, 	43.51
